text,summary
"user:  i am looking for a hotel with a 4 star rating to stay at and i do n't need to have internet . can you help ? </s><s> agent:  i have about 3 options that meet those requirement -s . all offer free parking and internet . 2 are expensive and 1 is cheap . do you have a preference ? </s><s> user:  tell me about the expensive options . </s><s> agent:  they are the huntingdon marriot hotel which is in the west area , and the university arms hotel which is in the centre . </s><s> user:  the university arms sounds good . </s><s> agent:  would you like me to make a reservation for you ? </s><s> user:  i need it for 8 people , 2 nights from monday . </s><s> agent:  okay . your booking was successful and your reference number is ref .",you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for a place to stay. the hotel does not need to have internet and should include free parking.  the hotel should be in the west.  once you find the hotel you want to book it for and starting from.  make sure you get the reference number.
"user:  i need to find a train that will arrive cambridge by 13:45 on friday </s><s> agent:  sure , where are you departing from ? </s><s> user:  i am departing from cambridge and want to go to birmingham new street </s><s> agent:  the tr7195 will get you there by 12:08 how many tickets please ? </s><s> user:  well , first , what is the departure time , price and travel time ? it sounds like it will work . </s><s> agent:  sorry , that was the tr6668 , not tr7195 , arrives by 12:44 , duration of the trip is 163 minutes and the price is 75.10 pounds . </s><s> user:  thank you . are there any expensive restaurant -s in the town centre ? </s><s> agent:  there are a variety of options in that area . is there a particular type of food that you would like ? </s><s> user:  not really . can i just have the postcode and phone number for your favorite place ? </s><s> agent:  kymmoy is the best ! their phone number is 01223311911 and postcode is cb12as </s><s> user:  great . thanks . that is all . </s><s> agent:  okay . i hope you enjoy your stay ! let us know if we can be of further help .","you are planning your trip in cambridge.  you are looking for a particular train. its name is called.  once you find the train you want to book it for and starting from.  make sure you get departure time, price, and travel time."
"user:  i am looking for place -s to see in town . can you help me ? </s><s> agent:  cambridge offers many attractions . is there a certain part of town or type of attraction you would like to narrow your search down to ? </s><s> user:  i really do n't have a preference . i 'll let you pick ! i 'll need the address , postcode and the phone number . thanks so much ! </s><s> agent:  little saint mary 's church is an architecture site , their address is little saint mary 's lane , and postcode is cb21qy , and the phone number is 01223366202 </s><s> user:  thank you . i am also looking for a train that leaves on monday . it will need to leave after 21:45 . </s><s> agent:  what is your destination . </s><s> user:  i am leaving from cambridge going to stevenage . </s><s> agent:  the tr6906 departs at 23:21 and arrives at 24:10 . would you like me to book it for you ? </s><s> user:  i just need the price on that 1 please . </s><s> agent:  the price is 12 . 80 pounds </s><s> user:  that 's exactly what i needed . thank you . goodbye ! </s><s> agent:  have a great trip . goodbye .","you are planning your trip in cambridge.  you are looking for a place to dine. the restaurant should be in the centre and should serve food.  make sure you get address, postcode,"
"user:  i am looking for information on 4-star rated guest house in cambridge </s><s> agent:  i have a number of 4 star guest house available , would you like to book 1 in a particular area ? </s><s> user:  not really . could you suggest 1 with free parking ? </s><s> agent:  okay , how about the acorn guest house in the north ? </s><s> user:  sure . can we spend 5 nights starting on sunday ? i am going to need room for 7 people . </s><s> agent:  reference number is ref for the acorn guest house . </s><s> user:  i would also like to eat somewhere cheap in the middle of town . </s><s> agent:  i suggest the dojo noodle bar , an asian oriental restaurant , would you like to make a reservation ? </s><s> user:  do you have 1 the is portuguese food ? </s><s> agent:  there is . how does nandos city centre sound ? </s><s> user:  sounds great if it is portuguese . i 'll take a reservation for 7 people at 20:00 for the same day . </s><s> agent:  you 're all set . your reference number is ref and your table will be reserved for 15 minutes . anything else ? </s><s> user:  no , that 's all i needed today . thank you for your help ! goodbye ! </s><s> agent:  okay , it was my pleasure to assist you ! bye !","you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for information in cambridge.  the hotel should have and should be in the type of guest house.  if there is no such hotel, how about one that has free parking.  once you find the hotel you want to book it for and starting from.  make sure you get the reference number."
"user:  i need to eat australian food in a place that is expensive </s><s> agent:  unfortunately , i am not able to find any australian cuisine in cambridge ? can i look up another type of restaurant for you ? </s><s> user:  are you sure there are no restaurant -s that serve australian food in the north that has an expensive price range ? </s><s> agent:  no , i apologize there are no australian restaurant -s in cambridge . would you like to try another type of cuisine ? </s><s> user:  hmm , i 'll try asian oriental instead . </s><s> agent:  saigon city is 1 of the best place -s in town . shall i book it for you ? </s><s> user:  yes , please book it for me . </s><s> agent:  what day and time should i make the reservation for ? how many people ? </s><s> user:  let 's make it for 6 people at 15:00 on saturday . </s><s> agent:  booking was successful . the reference number is ref . anything else i can do ? </s><s> user:  thank you ! now i need some suggestions on place -s to go in that same area of town . </s><s> agent:  would you like to go to milton country park ? they are located in the north and the entrance fee is free . </s><s> user:  sure . what is their postcode and phone number ? </s><s> agent:  the postcode is cb46az . the phone number is 01223420060 . can i help you with anything else ? </s><s> user:  that all thank you very much for all your help . </s><s> agent:  you are very welcome . thank you for using our system .","you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for a place to dine. the restaurant should serve australian food and should be in the expensive price range.  if there is no such restaurant, how about one that serves food.  once you find the restaurant you want"
"user:  i am traveling to cambridge and looking forward to try local restaurant -s . </s><s> agent:  sure , what can i help you find ? </s><s> user:  i am looking for a place to eat in the centere of town in the expensive price range serving hungarian food . </s><s> agent:  there are no hungarian restaurant located in the centre of town . how about another food type ? </s><s> user:  sure , let 's try british food , please ? </s><s> agent:  yes , there are 3 . i recommend midsummer house restaurant . </s><s> user:  that sounds great ! could you book a table there for wednesday ? there will be 7 of us , and we would like to eat at 16:00 . </s><s> agent:  i certainly can . just let me call them and confirm the reservation . can you hold please ? </s><s> user:  ok and get me the reference number please </s><s> agent:  reference number is : ref . is there anything else ? </s><s> user:  i also need a train to leicester . </s><s> agent:  would you be leaving from cambridge ? </s><s> user:  yes , on thursday . </s><s> agent:  what time would you like to leave ? </s><s> user:  i prefer to depart after 16:45 . just choose the first train you see listed and book tickets for 7 people . then give me the reference number . </s><s> agent:  ikcbzmlx is you confirmation number , have you booked for 7 tickets . </s><s> user:  thank you for all of your help . </s><s> agent:  you 're welcome . do you need additional help with a taxi or attractions ? </s><s> user:  no that is everything i needed . thank you . </s><s> agent:  you 're welcome and enjoy your stay .",you are planning your trip in cambridge.  you are looking for a place to dine. the restaurant should serve hungarian food and should be in the expensive price range.  once you find the restaurant you want to book a table for at on.  make sure you get the reference number.
user:  i need a cheap hotel in cambridge . </s><s> agent:  i have 10 cheap hotel -s available . which area of town are you looking to stay in ? </s><s> user:  i would like to stay in the west area . </s><s> agent:  i have finches bed and breakfast or the cambridge belfry . would you like to book a room at 1 of them ? </s><s> user:  does it have free wifi ? </s><s> agent:  yes it does . would you like me to book it for you now ? </s><s> user:  yes please . i need it for 1 person on saturday . a 3 night stay . </s><s> agent:  ok i will book it for you,you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for information in cambridge.  the hotel should be in the cheap price range and should have.  once you find the hotel you want to book it for and starting from.  if the booking fails how about.  make sure
"user:  can you help me find a train departing from norwich leaving on sunday ? </s><s> agent:  i found 19 trains that leave norwich on sunday . where will you be traveling to and do you have an arrival time in mind ? </s><s> user:  i am traveling to cambridge , of course ! i can leave norwich anytime after 12:45 </s><s> agent:  i recommend 1 which leaves 17:16 . can i book that tr2974 ? </s><s> user:  yes , that would be fine . i 'll need it booked for 3 people . i 'll also need the reference number , please . </s><s> agent:  okay , i have book you for 3 people on sunday . you reference number is ref . can i help you with anything else today ? </s><s> user:  yes , i am also looking for a place to stay in the north that has free wifi . </s><s> agent:  i have 12 options available that match your request . what price range would you like ? </s><s> user:  the hotel should be in the moderate price range and should have a star of 4 . </s><s> agent:  what about hamilton lodge ? its lovely </s><s> user:  sure , thanks ! will you please book it for the same group of 4 for 5 nights , starting sunday ? </s><s> agent:  your reference # ref anything else ? </s><s> user:  that is all . thank you ! </s><s> agent:  thank you very much ! i hope you have a great trip ! goodbye .",you are planning your trip in cambridge.  you are looking for a particular train. its name is called.  once you find the train you want to book it for and starting from.  make sure you get the reference number.
"user:  i am looking for information in cambridge . </s><s> agent:  sure , what do you need to know ? </s><s> user:  i am looking for a 3 star hotel . it does n't need to include internet . </s><s> agent:  are you looking for a certain price range or a particular part of town ? </s><s> user:  i would like a hotel in a moderate price range not far from the railway station . </s><s> agent:  i am sorry i don,t have anything matching your description . do you have another area in mind ? </s><s> user:  if there are n't any , how about a guest house ? </s><s> agent:  nothing matches for guest house or hotel , can i try something else for you ? </s><s> user:  a guest house with a 3 star rating and does not need to have internet , nothing ? </s><s> agent:  there are no guest houses in that area with a 3 star rating . is there another area you would like me to check ? </s><s> user:  i guess a hotel in the same area with any rating will do . </s><s> agent:  i have the gonville hotel that is a 3 star expensive hotel . would you like me to book this 1 ? </s><s> user:  yes , please . i need a reservation for sunday . </s><s> agent:  how many people will be staying and how many nights do you need ? </s><s> user:  please book it for 7 people for 5 nights starting on sunday . could you give me the reference number ? </s><s> agent:  okay . your booking was successful . your reference number is ref . can i help with anything else today ? </s><s> user:  no , that will be all thank you for your help . </s><s> agent:  may i book you a train and or a taxi ? </s><s> user:  no , thank you . i have everything i need . </s><s> agent:  wonderful ! have a great day !","you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for information in cambridge.  the hotel does not need to include internet and should be in the moderate price range.  if there is no such hotel, how about one that has.  once you find the hotel you want to book it for and starting from.  make sure you get the reference number."
"user:  i am in the midst of planning my trip to cambridge and need help finding a guest house that offers free wifi </s><s> agent:  what days would you like ? </s><s> user:  lets find a place first , i would like 1 in the north . </s><s> agent:  acorn guest house is a great place to stay . </s><s> user:  get me their phone number and address and whether they have free parking </s><s> agent:  yes , acorn guest house has free parking . they are located at 154 chesterton road . their phone number is 01223353888 . </s><s> user:  i am looking for a place to dine . the restaurant should serve unusual food and should be in the same area as the hotel . </s><s> agent:  i am sorry . i do n't have any matching results . would you like to try a different type of food , perhaps ? </s><s> user:  yes , please try chinese food instead . </s><s> agent:  there are 3 options available . i would recommend the hotpot . would you like to book a table ? </s><s> user:  not at the moment but i would like their phone number and address with postcode . </s><s> agent:  they are located at 66 chesterton road chesterton in the north part of town . zip code is cb41ep and their hone number is 01223366552 . </s><s> user:  thank you , that is all for today . goodbye . </s><s> agent:  bye . thank you for using our services .","you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for information in cambridge.  the hotel should include free wifi and should be in the north.  if there is no such hotel, how about one that has free parking.  make sure you get phone number, address, and postcode."
